Item Name,Average Unit Cost,Department Name
04465-02091 BRAKE P,5,BRAKE PADS
A403 /04466-28010,3.12,BRAKE PADS
51350/60-TG5-C01,18.9,CONTROL ARMS
344317,6.34,SHOCKS
48530/40-2B010 / 333107/8,10,SHOCKS
48510/20-2B010 / 333197/8,10,SHOCKS
56210-4M426 / 341279,7.5,SHOCKS
56110-EB70B / 341468 / 340053,12.82,SHOCKS
54302/3-4M486 / 333308/9,12.27,SHOCKS
551128/9,10,SHOCKS
48530-80147 / 341307 / 341422,9.25,SHOCKS
A718,4.44,BRAKE PADS
A663 BRAKE P,4.32,BRAKE PADS
A654 BRAKE P,4.79,BRAKE PADS
12371-74500,9,ENGINE MOUNTING
56210-01N5 / 343425,6,SHOCKS
48500-29675 SHOCKS,7,SHOCKS
48531-44020 / 343036,8.98,SHOCKS
48531-42301,6.25,SHOCKS
CRT54 KNUCKLES,2.45667,KNUCKLES
CRT56,2.47,KNUCKLES
CRT 47,2.47,KNUCKLES
CRT/HRT34 KNUCKLES,2.27,KNUCKLES
CRT 114 KNUCKLES,3,KNUCKLES
UC2M-32-250 KNUCKLES,2.47,KNUCKLES
CRT17 KNUCKLES,2.24,KNUCKLES
CRT 14 KNUCKLES,2,KNUCKLES
CRT89,2.47,KNUCKLES
CRT74 KNUCKLES,2.42,KNUCKLES
CRT21 KNUCKLES,3,KNUCKLES
CRT25 KNUCKLES,4,KNUCKLES
CRT 26,3.98,KNUCKLES
CRT46 KNUCKLES,2.57,KNUCKLES
CRT36 / 45503-29485,2.4,KNUCKLES
UC2M-99-356,4.65,BALL JOINTS
CBT42 BALL JOINTS,3.57,BALL JOINTS
17801-21030 AF,1.07,AIR FILTERS
IF15,2,NON GUD FUEL AND OIL FILTERS
CRT90 KNUCKLES,2.47,KNUCKLES
CBT16 BALL JOINTS,4,BALL JOINTS
CBHO/HBHO-32 BALL JOINTS,2.77,BALL JOINTS
CBT29 BALL JOINTS,2.73,BALL JOINTS
DAC387233/36 WHEEL B,2.69,WHEEL BEARING
23300-0L010,2,NON GUD FUEL AND OIL FILTERS
TO76 CV JOINTS,9.24,CV JOINTS
CRT59 KNUCKLES,3,KNUCKLES
CBT39 BALL JOINTS,3.26,BALL JOINTS
CBHO 16 BALL JOINTS,2.63,BALL JOINTS
17801-22020 AF,1.23,AIR FILTERS
04152-31080,2,NON GUD FUEL AND OIL FILTERS
TO38 CV JOINTS,9,CV JOINTS
CRT 77 KNUCKLES,2.47,KNUCKLES
CBT34 BALL JOINTS,4.44,BALL JOINTS
CBH0 6 BALL JOINTS,5,BALL JOINTS
DAC387643/40 WHEEL B,4,WHEEL BEARING
HO47,8.88,CV JOINTS
CRT 84,4.98,KNUCKLES
CBT27 BALL JOINTS,4.44,BALL JOINTS
CBHO/HBHO28 BALL JOINTS,3,BALL JOINTS
DU478855 WHEEL BEARING,11.18,WHEEL BEARING
16400-V2700,1.5,NON GUD FUEL AND OIL FILTERS
HO59,10.19,CV JOINTS
CBN63 BALL JOINTS,2.83,BALL JOINTS
CBT15 BALLJOINTS,4.36,BALL JOINTS
CBHO56 BALL JOINTS,2.82,BALL JOINTS
H055,10,CV JOINTS
CBN64 BALL JOINTS,4.1,BALL JOINTS
CBT45 BALL JOINTS,3.29,BALL JOINTS
CBHO4 BALL JOINTS,2.58,BALL JOINTS
DAC4379 WHEEL BEARING,5.01,WHEEL BEARING
HO54A,10,CV JOINTS
CBN36 BALL JOINTS,2.76,BALL JOINTS
CBT84 / 43310-29085,2.63,BALL JOINTS
CBHO49 / 51220-SEL-T01,2.63,BALL JOINTS
DAC3873/40 WHEEL B,4.93,WHEEL BEARING
NI17,9.53,CV JOINTS
CBN73 BALL JOINTS,3.73,BALL JOINTS
BJ40 BALL JOINTS,5,BALL JOINTS
CBMZ21 BALL JOINTS,4.27,BALL JOINTS
DAC4074/40 WHEEL B,3.99,WHEEL BEARING
17801-11080 AF,2,AIR FILTERS
17801-35020 AF,2,AIR FILTERS
NI43,9.53,CV JOINTS
CBT20 BALL JOINTS,3.78,BALL JOINTS
CBMZ20,2.18,BALL JOINTS
DAC4074/42 WHEELB,5.18,WHEEL BEARING
17220-RB6-Z00 AF,1.73,AIR FILTERS
16010-ST5-930,1.8,NON GUD FUEL AND OIL FILTERS
MA45 CV JOINTS,12,CV JOINTS
CBN62 BALL JOINTS,3.95,BALL JOINTS
CBT12 BALL JOINTS,3.08,BALL JOINTS
CBMZ14 BALL JOINTS,4.27,BALL JOINTS
DAC4074/36 WHEEL B,4.93,WHEEL BEARING
17220-PWA-J10 AF,2,AIR FILTERS
OK201-20-490,2,NON GUD FUEL AND OIL FILTERS
MA14,8.88,CV JOINTS
CBN74 BALL JOINTS,2.42,BALL JOINTS
CBT56,2.3,BALL JOINTS
CBMZ41 BALL JOINTS,4.44,BALL JOINTS
DG40940026,3.37,WHEEL BEARING
M10 /15209-2W200,2,NON GUD FUEL AND OIL FILTERS
CBN66 BALL JOINTS,5.14,BALL JOINTS
CBT48 BALL JOINTS,5,BALL JOINTS
CBMZ42 BALL JOINTS,5,BALL JOINTS
DG4090026,4,WHEEL BEARING
CBN11 BALL JOINTS,3.11,BALL JOINTS
CBT44 BALL JOINTS,4.5,BALL JOINTS
CBMZ 17 BALL JOINTS,4.45,BALL JOINTS
DAC4075/39 WHEEL B,5.51714,WHEEL BEARING
A742 BRAKE P,3.15,BRAKE PADS
12305-21130,13.48,ENGINE MOUNTING
50810-SEL-T81,6.07,ENGINE MOUNTING
48530-68020 / 341389,13.81,SHOCKS
48500-28040 / 343357,6.25,SHOCKS
56210-2W500,21.7,SHOCKS
48510-69165 / 09J10 / 341396,10.4,SHOCKS
MR403441,3,BLACK BUSHES
51391-S5A-024,2.79,BLACK BUSHES
48654-0D060,1.48,BLACK BUSHES
11270-8H310B,5,BLACK BUSHES
48632-26010,2.14,BLACK BUSHES
12371-64210,4.67,ENGINE MOUNTING
54302/3-41B05 / 332061/62,16.57,SHOCKS
48530/40-48010  / 334269/70,16.26,SHOCKS
55047-EB70C,0.66,BLACK BUSHES
UH74-39-33X,1.58,BLACK BUSHES
17801-11090 AF,1.56,AIR FILTERS
MA04,9.21,CV JOINTS
CBN72 BALL JOINTS,3.43273,BALL JOINTS
CBT73 BALL JOINTS,3.95,BALL JOINTS
CBMZ8 BALL JOINTS,3.99,BALL JOINTS
DAC356833/30 WHEEL B,3.28,WHEEL BEARING
