SKU,Name,AroniumPrice,AppPrice,AroniumTax,AppTax,AroniumStock,AppStock,Status,Diff
10360,Ivermectin 20mls,5.00,5.00,0,0,0.0,0.0,OK,
10361,Ivermectin 10mls,3.50,3.50,0,0,0.0,0.0,OK,
10363,Supa Dip 5litres,160.00,160.00,0,0,0.0,0.0,OK,
10364,Soft Broom,6.00,6.00,15.5,15.5,0.0,14.0,OK,
10365,SPRAYER - 1 LITRE,2.00,2.00,15.5,15.5,0.0,0.0,OK,
10367,buddizzo large,90.00,90.00,15.5,15.5,0.0,0.0,OK,
10369,charcoal plastics,3.00,3.00,15.5,15.5,0.0,0.0,OK,
10370,chicken grit 3kg,2.50,2.50,0,0,0.0,1.0,OK,
10371,closavet 250mls,12.00,12.00,0,0,0.0,0.0,OK,
10372,Cut summer block 25kg/Game Block,20.00,20.00,0,0,0.0,0.0,OK,
10373,dairy milk 20 percent,24.00,24.00,0,0,0.0,0.0,OK,
10374,delta guard 80g,4.50,4.50,0,0,0.0,0.0,OK,
10375,digestible L 250mls,8.00,8.00,0,0,0.0,0.0,OK,
10376,Flat Feed Troughs Large,3.00,3.00,15.5,15.5,0.0,0.0,OK,
10377,Infrared power trust,5.00,5.00,15.5,15.5,0.0,0.0,OK,
10379,Maize Sheller,2.00,2.00,15.5,15.5,0.0,0.0,OK,
10380,Mbaura Large,10.00,10.00,15.5,15.5,0.0,0.0,OK,
10381,Mbaura Medium,8.00,8.00,15.5,15.5,0.0,5.0,OK,
10382,Mbaura Small,5.00,5.00,15.5,15.5,0.0,3.0,OK,
10384,Net Fly Traps,3.00,3.00,15.5,15.5,0.0,0.0,OK,
10385,Pipe Nipple Drinkers,1.00,1.00,15.5,15.5,0.0,0.0,OK,
10386,Plain buckets,3.00,3.00,15.5,15.5,0.0,0.0,OK,
10387,Plastic Needle 21g,0.25,0.25,15.5,15.5,0.0,0.0,OK,
10388,Pottasium Permangate,5.00,5.00,0,0,0.0,0.0,OK,
10389,Rabbit Pipe(Metres),2.00,2.00,15.5,15.5,0.0,0.0,OK,
10390,Red Knives,3.00,3.00,15.5,15.5,0.0,0.0,OK,
